Leaf,Measurement Type,Integration Time,LED Current,Score
mango,raw,50,12.5 mA,0.9668217930770322
mango,raw,50,12.5 mA,0.9456191466304498
mango,raw,50,12.5 mA,0.9411734967137119
mango,raw,50,12.5 mA,0.9481576695992586
mango,raw,50,12.5 mA,0.9227987575646213
mango,raw,50,12.5 mA,0.9496387912342087
mango,raw,50,12.5 mA,0.9172603790757058
mango,raw,50,12.5 mA,0.9650240834695601
mango,raw,50,12.5 mA,0.9646016524441199
mango,raw,50,12.5 mA,0.9250075382534978
mango,raw,50,25 mA,0.9601169733530106
mango,raw,50,25 mA,0.9587730305196591
mango,raw,50,25 mA,0.9471076106445798
mango,raw,50,25 mA,0.9265906290426741
mango,raw,50,25 mA,0.9388638992740056
mango,raw,50,25 mA,0.9648844510205523
mango,raw,50,25 mA,0.9459387459477953
mango,raw,50,25 mA,0.9594426097965751
mango,raw,50,25 mA,0.967913785195173
mango,raw,50,25 mA,0.961045712567817
mango,raw,50,50 mA,0.9454808801611151
mango,raw,50,50 mA,0.9376467412093712
mango,raw,50,50 mA,0.9709612620262517
mango,raw,50,50 mA,0.9259972449267594
mango,raw,50,50 mA,0.9482321895117051
mango,raw,50,50 mA,0.9183815617769227
mango,raw,50,50 mA,0.930485409600817
mango,raw,50,50 mA,0.9400869074360351
mango,raw,50,50 mA,0.9433520885439803
mango,raw,50,50 mA,0.943209852852146
mango,raw,100,12.5 mA,0.9348894232638537
mango,raw,100,12.5 mA,0.9613136867563831
mango,raw,100,12.5 mA,0.9218796687371074
mango,raw,100,12.5 mA,0.957132844773604
mango,raw,100,12.5 mA,0.9461576129313668
mango,raw,100,12.5 mA,0.9556852729865479
mango,raw,100,12.5 mA,0.9611334560046983
mango,raw,100,12.5 mA,0.9506528660962974
mango,raw,100,12.5 mA,0.934702664217914
mango,raw,100,12.5 mA,0.9462661591925667
mango,raw,100,25 mA,0.9489042163542931
mango,raw,100,25 mA,0.9482825583529315
mango,raw,100,25 mA,0.942745231878976
mango,raw,100,25 mA,0.9541442600983331
mango,raw,100,25 mA,0.9558571259323955
mango,raw,100,25 mA,0.9626149861877331
mango,raw,100,25 mA,0.9409393240606657
mango,raw,100,25 mA,0.9636555108026893
mango,raw,100,25 mA,0.952645423519184
mango,raw,100,25 mA,0.9756699948622616
mango,raw,100,50 mA,0.9280386182916883
mango,raw,100,50 mA,0.958144985565642
mango,raw,100,50 mA,0.9566354791788085
mango,raw,100,50 mA,0.9353545481536658
mango,raw,100,50 mA,0.9513022833231598
mango,raw,100,50 mA,0.9164266468303343
mango,raw,100,50 mA,0.9543993548793254
mango,raw,100,50 mA,0.9287857737512202
mango,raw,100,50 mA,0.951466527435788
mango,raw,100,50 mA,0.9276001150144452
mango,raw,150,12.5 mA,0.9431592665435273
mango,raw,150,12.5 mA,0.956358018747808
mango,raw,150,12.5 mA,0.9309432834945315
mango,raw,150,12.5 mA,0.9359055073950775
mango,raw,150,12.5 mA,0.942772276652832
mango,raw,150,12.5 mA,0.9450001100507339
mango,raw,150,12.5 mA,0.9434423202005999
mango,raw,150,12.5 mA,0.9418839462684517
mango,raw,150,12.5 mA,0.9426787019690014
mango,raw,150,12.5 mA,0.9576881207081203
mango,raw,150,25 mA,0.9636708064352552
mango,raw,150,25 mA,0.9659476300074229
mango,raw,150,25 mA,0.9114658356611046
mango,raw,150,25 mA,0.9363168729570139
mango,raw,150,25 mA,0.9493126860451935
mango,raw,150,25 mA,0.9276590748083986
mango,raw,150,25 mA,0.9658667554075917
mango,raw,150,25 mA,0.9701251752406832
mango,raw,150,25 mA,0.9405763164173911
mango,raw,150,25 mA,0.9743771811681367
mango,raw,150,50 mA,0.9402456956572796
mango,raw,150,50 mA,0.9595022802985154
mango,raw,150,50 mA,0.9485255650416865
mango,raw,150,50 mA,0.9431287682833217
mango,raw,150,50 mA,0.9306463382366766
mango,raw,150,50 mA,0.9362797864197857
mango,raw,150,50 mA,0.9273416453389752
mango,raw,150,50 mA,0.9520907156592111
mango,raw,150,50 mA,0.93359657506524
mango,raw,150,50 mA,0.933993282268578
mango,reflectance,50,12.5 mA,0.8930001781504916
mango,reflectance,50,12.5 mA,0.9602724033001453
mango,reflectance,50,12.5 mA,0.9194070748916829
mango,reflectance,50,12.5 mA,0.9347907989645455
mango,reflectance,50,12.5 mA,0.9350142334400322
mango,reflectance,50,12.5 mA,0.9594209612777258
mango,reflectance,50,12.5 mA,0.9288148462342942
mango,reflectance,50,12.5 mA,0.9577053688625545
mango,reflectance,50,12.5 mA,0.9477845153602888
mango,reflectance,50,12.5 mA,0.9722575646273304
mango,reflectance,50,25 mA,0.954558111257007
mango,reflectance,50,25 mA,0.9536519552832287
mango,reflectance,50,25 mA,0.9591158448483575
mango,reflectance,50,25 mA,0.9533402297560591
mango,reflectance,50,25 mA,0.921142434001126
mango,reflectance,50,25 mA,0.9542114711199173
mango,reflectance,50,25 mA,0.9601981264020817
mango,reflectance,50,25 mA,0.9583097950382672
mango,reflectance,50,25 mA,0.9625334340760866
mango,reflectance,50,25 mA,0.9515789447727717
mango,reflectance,50,50 mA,0.9132799723285796
mango,reflectance,50,50 mA,0.9345447652971967
mango,reflectance,50,50 mA,0.961701755286225
mango,reflectance,50,50 mA,0.9453013762479551
mango,reflectance,50,50 mA,0.9447664335096786
mango,reflectance,50,50 mA,0.9530168350080525
mango,reflectance,50,50 mA,0.9367658267241833
mango,reflectance,50,50 mA,0.9426024373878998
mango,reflectance,50,50 mA,0.9434884044305516
mango,reflectance,50,50 mA,0.886363919281542
mango,reflectance,100,12.5 mA,0.9615959273300185
mango,reflectance,100,12.5 mA,0.9393283085571292
mango,reflectance,100,12.5 mA,0.9286523027056045
mango,reflectance,100,12.5 mA,0.9352844128817933
mango,reflectance,100,12.5 mA,0.9432389084246782
mango,reflectance,100,12.5 mA,0.9697428664988976
mango,reflectance,100,12.5 mA,0.9483567858548909
mango,reflectance,100,12.5 mA,0.9570337116593655
mango,reflectance,100,12.5 mA,0.9522415052575344
mango,reflectance,100,12.5 mA,0.9416232636122331
mango,reflectance,100,25 mA,0.9558196070463743
mango,reflectance,100,25 mA,0.9588885121540078
mango,reflectance,100,25 mA,0.9406632770242562
mango,reflectance,100,25 mA,0.9603250289202758
mango,reflectance,100,25 mA,0.949246431032116
mango,reflectance,100,25 mA,0.9472797490253972
mango,reflectance,100,25 mA,0.9437030401552723
mango,reflectance,100,25 mA,0.9658733177683715
mango,reflectance,100,25 mA,0.9509368612702895
mango,reflectance,100,25 mA,0.9577984707651006
mango,reflectance,100,50 mA,0.9382537941908924
mango,reflectance,100,50 mA,0.9238679144800358
mango,reflectance,100,50 mA,0.9583175311988927
mango,reflectance,100,50 mA,0.9550404040177585
mango,reflectance,100,50 mA,0.9237757373562502
mango,reflectance,100,50 mA,0.9383845067664316
mango,reflectance,100,50 mA,0.934880105739978
mango,reflectance,100,50 mA,0.9555276752504792
mango,reflectance,100,50 mA,0.9537533881829847
mango,reflectance,100,50 mA,0.9541249145556168
mango,reflectance,150,12.5 mA,0.94216906615177
mango,reflectance,150,12.5 mA,0.933544353884675
mango,reflectance,150,12.5 mA,0.9595062152535213
mango,reflectance,150,12.5 mA,0.960522290945051
mango,reflectance,150,12.5 mA,0.9645445723234765
mango,reflectance,150,12.5 mA,0.9618212780779304
mango,reflectance,150,12.5 mA,0.9576375460213994
mango,reflectance,150,12.5 mA,0.9516273173799861
mango,reflectance,150,12.5 mA,0.9590633414838773
mango,reflectance,150,12.5 mA,0.9567889435405674
mango,reflectance,150,25 mA,0.9319147919884697
mango,reflectance,150,25 mA,0.954043186431803
mango,reflectance,150,25 mA,0.9520361598845398
mango,reflectance,150,25 mA,0.9668004593411162
mango,reflectance,150,25 mA,0.9549429151189405
mango,reflectance,150,25 mA,0.9347375849796374
mango,reflectance,150,25 mA,0.9516116500029819
mango,reflectance,150,25 mA,0.9554520385863322
mango,reflectance,150,25 mA,0.9481356547029401
mango,reflectance,150,25 mA,0.9501937568884458
mango,reflectance,150,50 mA,0.9478018588611155
mango,reflectance,150,50 mA,0.9543418386629466
mango,reflectance,150,50 mA,0.9390050183413634
mango,reflectance,150,50 mA,0.9474743151184928
mango,reflectance,150,50 mA,0.9150671910543612
mango,reflectance,150,50 mA,0.929200273348391
mango,reflectance,150,50 mA,0.9533376301042594
mango,reflectance,150,50 mA,0.9462271772726587
mango,reflectance,150,50 mA,0.945179019010554
mango,reflectance,150,50 mA,0.9652195518068248
mango,absorbance,50,12.5 mA,0.9549985872740342
mango,absorbance,50,12.5 mA,0.9689407878944939
mango,absorbance,50,12.5 mA,0.9580827500234215
mango,absorbance,50,12.5 mA,0.9575651094406397
mango,absorbance,50,12.5 mA,0.9649462750725368
mango,absorbance,50,12.5 mA,0.9608397849417841
mango,absorbance,50,12.5 mA,0.9375936409887683
mango,absorbance,50,12.5 mA,0.9464288518611618
mango,absorbance,50,12.5 mA,0.9758409901320751
mango,absorbance,50,12.5 mA,0.9527498088154195
mango,absorbance,50,25 mA,0.9756817159194594
mango,absorbance,50,25 mA,0.9685438624587112
mango,absorbance,50,25 mA,0.9525177411669541
mango,absorbance,50,25 mA,0.9626676675958074
mango,absorbance,50,25 mA,0.9749957443073505
mango,absorbance,50,25 mA,0.9534560140493433
mango,absorbance,50,25 mA,0.9511777473905805
mango,absorbance,50,25 mA,0.9404791337621751
mango,absorbance,50,25 mA,0.9557044140559817
mango,absorbance,50,25 mA,0.9764716185765407
mango,absorbance,50,50 mA,0.9215266717259377
mango,absorbance,50,50 mA,0.9416105040513232
mango,absorbance,50,50 mA,0.9610856353202974
mango,absorbance,50,50 mA,0.9572841507452999
mango,absorbance,50,50 mA,0.9375329611809571
mango,absorbance,50,50 mA,0.9580009765441471
mango,absorbance,50,50 mA,0.9252319202121708
mango,absorbance,50,50 mA,0.9563530605917235
mango,absorbance,50,50 mA,0.9710938058188929
mango,absorbance,50,50 mA,0.9474394192554773
mango,absorbance,100,12.5 mA,0.9680177320079051
mango,absorbance,100,12.5 mA,0.9537462543833413
mango,absorbance,100,12.5 mA,0.9493430552189539
mango,absorbance,100,12.5 mA,0.9395819641445957
mango,absorbance,100,12.5 mA,0.9697142443687201
mango,absorbance,100,12.5 mA,0.9607073538259437
mango,absorbance,100,12.5 mA,0.9508451307084298
mango,absorbance,100,12.5 mA,0.9508933198469014
mango,absorbance,100,12.5 mA,0.9463639690174386
mango,absorbance,100,12.5 mA,0.9646949416396917
mango,absorbance,100,25 mA,0.9665694693688784
mango,absorbance,100,25 mA,0.9271708868612331
mango,absorbance,100,25 mA,0.9699085877843013
mango,absorbance,100,25 mA,0.9686938551661621
mango,absorbance,100,25 mA,0.9670492534654982
mango,absorbance,100,25 mA,0.9516200937796868
mango,absorbance,100,25 mA,0.9495159555843393
mango,absorbance,100,25 mA,0.969359020063262
mango,absorbance,100,25 mA,0.9672849342505573
mango,absorbance,100,25 mA,0.9619068893610763
mango,absorbance,100,50 mA,0.9411390530153094
mango,absorbance,100,50 mA,0.9454858324593687
mango,absorbance,100,50 mA,0.9544450968157139
mango,absorbance,100,50 mA,0.9471924892378955
mango,absorbance,100,50 mA,0.9678586311674592
mango,absorbance,100,50 mA,0.9286629273945921
mango,absorbance,100,50 mA,0.9530394097268429
mango,absorbance,100,50 mA,0.9363092249850612
mango,absorbance,100,50 mA,0.9563672575884824
mango,absorbance,100,50 mA,0.9576909517844929
mango,absorbance,150,12.5 mA,0.9509266973774056
mango,absorbance,150,12.5 mA,0.9515849738351889
mango,absorbance,150,12.5 mA,0.9687709682534026
mango,absorbance,150,12.5 mA,0.9323014701617234
mango,absorbance,150,12.5 mA,0.9443386575058947
mango,absorbance,150,12.5 mA,0.9695459398676533
mango,absorbance,150,12.5 mA,0.9466186529936662
mango,absorbance,150,12.5 mA,0.972306800287255
mango,absorbance,150,12.5 mA,0.9676104866096826
mango,absorbance,150,12.5 mA,0.9600655470921158
mango,absorbance,150,25 mA,0.960977699528869
mango,absorbance,150,25 mA,0.9544228830282407
mango,absorbance,150,25 mA,0.9499757706243906
mango,absorbance,150,25 mA,0.9432100715886799
mango,absorbance,150,25 mA,0.9766540702866008
mango,absorbance,150,25 mA,0.974450588205416
mango,absorbance,150,25 mA,0.9551411737125133
mango,absorbance,150,25 mA,0.9687955390881365
mango,absorbance,150,25 mA,0.972126080083197
mango,absorbance,150,25 mA,0.95606563038936
mango,absorbance,150,50 mA,0.931331533453727
mango,absorbance,150,50 mA,0.9757538294449011
mango,absorbance,150,50 mA,0.9758713209074954
mango,absorbance,150,50 mA,0.9507559945632864
mango,absorbance,150,50 mA,0.9503596730497746
mango,absorbance,150,50 mA,0.953148706746944
mango,absorbance,150,50 mA,0.955449970510739
mango,absorbance,150,50 mA,0.9503334007128894
mango,absorbance,150,50 mA,0.9574896622711905
mango,absorbance,150,50 mA,0.949153269106354
banana,raw,50,12.5 mA,0.9534337138836748
banana,raw,50,12.5 mA,0.9476404773987311
banana,raw,50,12.5 mA,0.9449880254000805
banana,raw,50,12.5 mA,0.9284364306751791
banana,raw,50,12.5 mA,0.9515850788942459
banana,raw,50,12.5 mA,0.9238320017347854
banana,raw,50,12.5 mA,0.929261878278064
banana,raw,50,12.5 mA,0.939174308212374
banana,raw,50,12.5 mA,0.9413598642808587
banana,raw,50,12.5 mA,0.9334048552493797
banana,raw,50,25 mA,0.9438735670524372
banana,raw,50,25 mA,0.9361730034991105
banana,raw,50,25 mA,0.9514578779103672
banana,raw,50,25 mA,0.9602289265023956
banana,raw,50,25 mA,0.9282826143711912
banana,raw,50,25 mA,0.9343326058552882
banana,raw,50,25 mA,0.9274764424025307
banana,raw,50,25 mA,0.9363285038468806
banana,raw,50,25 mA,0.922992393301883
banana,raw,50,25 mA,0.928342295933822
banana,raw,50,50 mA,0.9091348074762375
banana,raw,50,50 mA,0.852293449543243
banana,raw,50,50 mA,0.8634288589262327
banana,raw,50,50 mA,0.8686625473245965
banana,raw,50,50 mA,0.9067648154742695
banana,raw,50,50 mA,0.7945177345027301
banana,raw,50,50 mA,0.846515172916782
banana,raw,50,50 mA,0.8481153465895358
banana,raw,50,50 mA,0.8583641495885492
banana,raw,50,50 mA,0.8511558591579232
banana,raw,100,12.5 mA,0.9529203523806536
banana,raw,100,12.5 mA,0.9698380064365713
banana,raw,100,12.5 mA,0.9551061357556808
banana,raw,100,12.5 mA,0.9621180126517311
banana,raw,100,12.5 mA,0.9590964680327849
banana,raw,100,12.5 mA,0.9541326982894741
banana,raw,100,12.5 mA,0.9378163435041661
banana,raw,100,12.5 mA,0.9585628403018274
banana,raw,100,12.5 mA,0.9485026724358208
banana,raw,100,12.5 mA,0.9448983111060737
